# go_id	kind	status	crystal_refs	notes
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeNoWebOrOsSupport	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeOsSourceIgnored	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeOsTriggerIgnored	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypePermissionPolicyDisabled	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeSourceAndTriggerHeaders	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeSourceIgnored	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeTriggerIgnored	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeUntrustworthyReportingOrigin	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsAttributionReportingIssueTypeWebAndOsHeaders	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsBlockedByResponseReasonCoepFrameResourceNeedsCoepHeader	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsBlockedByResponseReasonCoopSandboxedIFrameCannotNavigateToCoopPage	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsBlockedByResponseReasonCorpNotSameOrigin	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsBlockedByResponseReasonCorpNotSameOriginAfterDefaultedToSameOriginByCoep	const	missing		heuristic-filter
lib/proto/audits.go::const::AuditsBlockedByResponseReasonCorpNotSameOriginAfterDefaultedToSameOriginByCoepAndDip	const	missing		heuristic-filter
